signal,signal_desc,n_files,total_samples,total_artifacts,total_spikes,mean_pct_artifact,median_pct_artifact,p95_pct_artifact,mean_signal_value,overall_pct_artifact
ECG_HR,Heart Rate (ECG),5200,88730476,9080,243,0.07540235457063713,0.0,0.0,88.7551817867036,0.01
PLETH_SAT_O2,SpO2,5194,86018778,4884,151,0.02110228848821082,0.0,0.0,96.07056518723995,0.006
PLETH_HR,Heart Rate (Pleth),5189,85413298,1,727,1.735207357279195e-07,0.0,0.0,86.87546590317542,0.0
RR,Respiratory Rate,5053,83898359,621548,718,1.751356557377049,0.0,0.299,19.880579116179614,0.741
NIBP_SYS,NIBP Systolic,2896,33800432,485,0,0.06371699266503668,0.0,0.0,2685.9647310513446,0.001
NIBP_DIA,NIBP Diastolic,2894,33593440,1325,0,0.005327217125382263,0.0,0.0,69.97770030581039,0.004
NIBP_MEAN,NIBP MAP,2894,33608463,711,0,0.003345565749235474,0.0,0.0,84.4087003058104,0.002
ABP_MEAN,Arterial MAP,2033,42606358,81058,11428,0.44213519603424967,0.0,0.9548999999999992,84.96050923839567,0.19
ABP_SYS,Arterial BP Systolic,2030,41970780,7555,2738,0.11947157039711193,0.0,0.06425,130.21386732851985,0.018
ABP_DIA,Arterial BP Diastolic,2029,41968036,10824,0,0.1196135440180587,0.0,0.138,62.322243792325054,0.026
FIO2,FiO2,960,28445059,44321,0,0.22241364038972541,0.0,0.0,33.180531443755534,0.156
ICP_MEAN,ICP Mean,957,15625621,326391,0,3.056308988764045,0.0,13.307899999999998,10.385936329588015,2.089
AWAY_CO2_ET,EtCO2,657,24593906,354,0,0.0010777479892761395,0.0,0.0,34.85623324396783,0.001
ART_MEAN,Art Line MAP,592,14489515,26447,4331,0.8682237871674491,0.005,1.857,90.7444600938967,0.183
ART_SYS,Art Line Systolic,591,14154304,2918,1053,0.1773965517241379,0.0,0.10329999999999995,128.70120689655172,0.021
ART_DIA,Art Line Diastolic,590,14153486,8449,0,0.4320910518053375,0.0,0.854,68.71662480376766,0.06
TEMP,Temperature,93,3043993,195618,0,11.060059405940594,0.271,79.786,34.7870297029703,6.426
BT_SKIN,Skin Temperature,31,2228103,46004,0,6.02206779661017,1.019,23.549,34.82508474576271,2.065
