month,has_ecg,has_art,has_co2,has_spo2,has_bis,has_neuro,has_hemo,has_vent,has_temp
2024-05-01,100.0,100.0,50.0,100.0,100.0,100.0,50.0,50.0,0.0
2024-06-01,100.0,100.0,33.33333333333333,100.0,0.0,33.33333333333333,33.33333333333333,100.0,0.0
2024-10-01,100.0,81.25,81.25,100.0,0.0,31.25,81.25,87.5,75.0
2024-11-01,97.05882352941177,38.23529411764706,29.411764705882355,97.05882352941177,11.76470588235294,13.725490196078432,29.411764705882355,30.392156862745097,0.0
2024-12-01,100.0,58.27067669172933,32.70676691729324,100.0,9.774436090225564,40.225563909774436,33.45864661654135,17.293233082706767,0.7518796992481203
2025-01-01,99.47643979057592,44.24083769633508,13.350785340314136,99.47643979057592,3.664921465968586,6.020942408376963,15.44502617801047,2.094240837696335,0.0
2025-02-01,100.0,23.316062176165804,4.145077720207254,100.0,2.5906735751295336,23.05699481865285,4.145077720207254,10.880829015544041,0.0
2025-03-01,100.0,77.72727272727272,32.72727272727273,100.0,12.954545454545455,36.81818181818181,33.63636363636363,44.09090909090909,0.6818181818181818
2025-04-01,99.72565157750343,58.161865569272976,21.67352537722908,99.72565157750343,6.447187928669409,33.470507544581615,21.67352537722908,11.522633744855968,0.0
2025-05-01,100.0,45.47053649956025,32.01407211961302,100.0,3.518029903254178,13.192612137203167,32.189973614775724,23.834652594547055,0.1759014951627089
2025-06-01,100.0,49.91596638655462,23.52941176470588,100.0,9.57983193277311,48.23529411764706,23.52941176470588,9.915966386554622,0.0
2025-07-01,86.3013698630137,67.67123287671232,16.986301369863014,86.3013698630137,16.986301369863014,23.013698630136986,16.986301369863014,24.65753424657534,10.684931506849315
2025-08-01,32.86713286713287,25.874125874125873,26.573426573426573,32.86713286713287,6.293706293706294,6.293706293706294,26.573426573426573,5.594405594405594,1.3986013986013985
2025-09-01,66.40316205533597,28.85375494071146,15.41501976284585,66.40316205533597,3.9525691699604746,12.25296442687747,15.41501976284585,3.9525691699604746,2.371541501976284
2025-10-01,89.13043478260869,40.57971014492754,27.536231884057973,89.13043478260869,9.420289855072465,24.637681159420293,27.898550724637683,16.304347826086957,3.985507246376811
2025-11-01,93.13304721030042,49.35622317596567,20.600858369098713,93.13304721030042,0.0,77.25321888412017,20.600858369098713,8.15450643776824,0.0
2025-12-01,89.94413407821229,29.608938547486037,4.748603351955307,89.94413407821229,2.5139664804469275,29.88826815642458,4.748603351955307,6.983240223463687,0.0
2026-01-01,84.0,58.666666666666664,17.333333333333336,84.0,13.333333333333334,14.666666666666666,17.333333333333336,14.666666666666666,26.666666666666668
2026-02-01,56.81818181818182,47.72727272727273,47.72727272727273,56.81818181818182,13.636363636363635,13.636363636363635,47.72727272727273,45.45454545454545,9.090909090909092
