box,n_sessions,median_gap_hours,mean_gap_hours,micro,short,long,very_long
box10,510,0.0,22.161100196463654,400,0,100,9
box11,64,0.0,76.95238095238095,48,0,10,5
box12,401,0.0,22.08,290,0,99,11
box13,549,0.0,7.094890510948905,470,0,74,4
box14,1235,0.0,11.144246353322528,1082,0,140,12
box2,183,0.0,16.35164835164835,152,0,27,3
box3,223,0.0,42.270270270270274,159,0,56,7
box4,545,0.0,18.66176470588235,430,0,106,8
box5,371,0.0,13.232432432432432,282,0,82,6
box6,415,0.0,12.869565217391305,297,0,112,5
box7,335,0.0,17.676646706586826,272,0,55,7
box8,346,0.0,6.191304347826087,291,0,52,2
box9,294,0.0,20.72354948805461,235,0,54,4
